,PC1,PC2,PC3,PC4
Gravel_pct,-0.313745013854712,-0.4090197750229882,-0.14376613753187173,-0.19873153721945988
Sand_pct,-0.026649422725053884,0.4290419218064907,0.4471143410629203,0.34044298291724284
Silt_pct,0.4382872193502228,0.012633307688301796,0.12218490660561038,0.10028242744489485
Clay_pct,-0.004993866879319188,0.4837300375257233,-0.2704894091083285,-0.0011971827973491825
Liquid_Limit,0.4004293691410805,-0.20707932813489366,-0.299911999043409,0.10083037475308322
Plastic_Limit,0.38542547203558547,0.049748092422825116,-0.3385133279280334,-0.34603638812101767
Plasticity_Index,0.29492285950876773,-0.2962523907655095,-0.18253364062151126,0.38736190568069734
Sp_Gravity,0.04121057621955636,0.21477816890159182,-0.1578864908123975,-0.22849116198832664
Moisture_pct,-0.16124349408912367,0.35761037657101097,-0.349749954392816,-0.3022359445488498
Cohesion_kPa,-0.16359152221276735,0.02697139216836782,-0.43299087088155447,0.537734176060681
Friction_Angle_deg,0.31414661652371745,-0.11857401308841066,0.34321639679454813,-0.33721617641484675
Fines_pct,0.399636363686484,0.30421572541009706,-0.030620543514842308,0.0903415166079277
