,N,Mean,Std_Dev,Min,Q1,Median,Q3,Max
Gravel_pct,210.0,47.21557319770438,24.13056508957426,0.0,32.19719432160139,47.87798677559276,64.07978038272955,100.0
Sand_pct,210.0,15.489696121672624,9.413341217490474,0.0,8.566079151671032,15.997608603588127,22.513001385044724,38.48294989094851
Silt_pct,210.0,27.3472401343531,18.14571432201833,0.0,15.149527112402767,26.11813432681332,38.467067598729095,79.81405770051428
Clay_pct,210.0,10.042728641507988,11.361801021257223,0.0,1.4160672742879532,6.199261751057161,14.002652284333212,48.94973911305988
Liquid_Limit,210.0,56.45492269257367,11.937192477874845,30.0,49.68548260603342,54.15992233799466,59.29266867179266,100.0
Plastic_Limit,210.0,37.62678766957481,5.936753923117479,27.628197817605464,33.77819844062732,36.0,40.3947841063662,60.0
Plasticity_Index,210.0,18.828135022998858,8.373853246407577,-10.0,14.528361129084697,18.509223814750335,21.91548798533949,55.873193411729105
Sp_Gravity,210.0,2.736461916512012,0.09422747962635641,2.6,2.6692553188711132,2.7250274697889045,2.7962196745141727,2.95
Moisture_pct,210.0,13.370330458525387,2.9934567852651064,5.0,11.60621186023972,13.192949105273339,15.075634317304075,22.446374640241164
Cohesion_kPa,210.0,31.37531199370259,8.53433628416297,10.229560359910522,25.97845505263496,29.941770072715645,36.072408178379405,57.96129496883134
Friction_Angle_deg,210.0,29.308347906476566,4.073617347184622,17.413833424745285,26.119278662894942,29.615718316106182,32.03905418356063,38.83854953934888
Fines_pct,210.0,37.389968775861085,19.390846749555543,0.0,23.151426900711094,35.01033240109162,47.9999010704387,93.11621702356132
